iter	Passed	Remaining
705	17521	32114
706	17546	32089
707	17565	32053
708	17583	32017
709	17605	31987
710	17635	31971
711	17658	31943
712	17678	31909
713	17698	31877
714	17724	31854
715	17746	31824
716	17766	31791
717	17788	31760
718	17808	31728
719	17828	31695
720	17850	31665
721	17871	31634
722	17893	31605
723	17912	31568
724	17931	31534
725	17949	31497
726	17971	31468
727	17992	31437
728	18011	31403
729	18030	31368
730	18050	31336
731	18073	31307
732	18093	31274
733	18115	31245
734	18136	31213
735	18158	31184
736	18177	31151
737	18204	31129
738	18227	31103
739	18247	31069
740	18272	31045
741	18298	31024
742	18322	30997
743	18341	30963
744	18366	30939
745	18389	30911
746	18410	30881
747	18432	30851
748	18451	30817
749	18473	30789
750	18498	30765
751	18519	30734
752	18542	30706
753	18569	30686
754	18590	30655
755	18609	30622
756	18629	30590
757	18651	30560
758	18676	30536
759	18714	30534
760	18740	30512
761	18766	30489
762	18788	30460
763	18810	30431
764	18834	30405
765	18858	30380
766	18884	30358
767	18919	30349
768	18945	30328
769	18969	30302
770	18994	30277
771	19015	30248
772	19037	30219
773	19059	30189
774	19083	30163
775	19108	30140
776	19131	30113
777	19156	30089
778	19183	30067
779	19206	30040
780	19230	30015
781	19254	29989
782	19278	29963
783	19305	29942
784	19325	29912
785	19345	29880
786	19368	29852
787	19388	29821
788	19409	29790
789	19434	29766
790	19457	29739
791	19479	29711
792	19501	29682
793	19522	29652
794	19543	29623
795	19566	29596
796	19588	29566
797	19608	29534
798	19631	29508
799	19653	29480
800	19676	29452
801	19699	29426
802	19720	29396
803	19745	29372
804	19768	29346
805	19792	29320
806	19817	29295
807	19841	29271
808	19869	29252
809	19895	29229
810	19917	29200
811	19938	29171
812	19959	29140
813	19985	29118
814	20014	29101
815	20040	29078
816	20065	29054
817	20091	29031
818	20112	29002
819	20134	28974
820	20155	28944
821	20175	28913
822	20200	28889
823	20220	28858
824	20242	28830
825	20264	28801
826	20285	28773
827	20308	28746
828	20333	28721
829	20354	28691
830	20376	28664
831	20399	28637
832	20423	28611
833	20445	28584
834	20466	28554
835	20490	28529
836	20512	28501
837	20534	28473
838	20555	28444
839	20576	28415
840	20600	28389
841	20625	28365
842	20650	28341
843	20674	28316
844	20700	28294
845	20720	28263
846	20747	28242
847	20767	28212
848	20787	28182
849	20811	28156
850	20833	28129
851	20859	28105
852	20886	28085
853	20909	28058
854	20932	28031
855	20953	28003
856	20975	27975
857	21001	27952
858	21021	27922
859	21041	27892
860	21063	27864
861	21090	27842
862	21113	27816
863	21136	27790
864	21157	27762
865	21181	27736
866	21203	27708
867	21225	27681
868	21249	27655
869	21273	27630
870	21295	27603
871	21318	27577
872	21338	27546
873	21357	27515
874	21377	27484
875	21396	27453
876	21416	27424
877	21437	27394
878	21460	27368
879	21481	27339
880	21501	27310
881	21525	27284
882	21548	27258
883	21569	27229
884	21591	27202
885	21617	27180
886	21637	27150
887	21657	27120
888	21678	27091
889	21700	27064
890	21722	27036
891	21746	27012
892	21766	26982
893	21787	26954
894	21809	26926
895	21830	26897
896	21851	26869
897	21874	26843
898	21897	26817
899	21922	26794
900	21942	26764
901	21961	26733
902	21983	26706
903	22003	26676
904	22025	26649
905	22047	26622
906	22070	26596
907	22091	26568
908	22111	26538
909	22131	26508
910	22150	26478
911	22172	26451
912	22194	26424
913	22214	26394
914	22236	26368
915	22255	26337
916	22277	26310
917	22296	26279
918	22321	26256
919	22344	26230
920	22367	26204
921	22390	26178
922	22413	26153
923	22436	26127
924	22460	26103
925	22481	26074
926	22501	26045
927	22519	26014
928	22539	25984
929	22562	25958
930	22585	25933
931	22609	25908
932	22632	25883
933	22654	25855
934	22676	25829
935	22698	25802
936	22718	25773
937	22746	25753
938	22770	25729
939	22789	25699
940	22812	25673
941	22834	25646
942	22853	25616
943	22876	25591
944	22896	25561
945	22915	25531
946	22937	25504
947	22957	25476
948	22978	25448
949	22998	25419
950	23019	25391
951	23042	25366
952	23062	25337
953	23083	25309
954	23105	25282
955	23128	25257
956	23150	25231
957	23172	25204
958	23194	25177
959	23213	25148
960	23234	25120
961	23255	25092
962	23276	25065
963	23298	25038
964	23322	25014
965	23343	24987
966	23365	24960
967	23387	24933
968	23407	24905
969	23431	24880
970	23454	24855
971	23475	24827
972	23495	24799
973	23517	24773
974	23539	24746
975	23561	24719
976	23583	24693
977	23602	24664
978	23623	24637
979	23647	24612
980	23670	24587
981	23691	24560
982	23714	24534
983	23739	24511
984	23762	24486
985	23783	24459
986	23805	24432
987	23829	24408
988	23853	24383
989	23874	24357
990	23897	24332
991	23922	24308
992	23944	24282
993	23967	24257
994	23990	24231
995	24013	24206
996	24037	24182
997	24061	24158
998	24085	24133
999	24107	24107
1000	24129	24081
1001	24152	24056
1002	24175	24030
1003	24195	24003
1004	24217	23976
1005	24240	23951
1006	24262	23925
1007	24283	23898
1008	24305	23872
1009	24331	23849
1010	24354	23824
1011	24375	23797
1012	24396	23770
1013	24419	23744
1014	24442	23719
1015	24463	23693
1016	24486	23667
1017	24507	23640
1018	24528	23613
1019	24548	23585
1020	24568	23558
1021	24589	23531
1022	24612	23505
1023	24632	23477
1024	24654	23451
1025	24676	23425
1026	24699	23400
1027	24721	23375
1028	24744	23349
1029	24765	23322
1030	24784	23294
1031	24806	23268
1032	24828	23242
1033	24851	23217
1034	24874	23192
1035	24896	23165
1036	24921	23142
1037	24945	23119
1038	24966	23091
1039	24985	23063
1040	25007	23037
1041	25028	23010
1042	25047	22982
1043	25072	22958
1044	25092	22931
1045	25112	22904
1046	25132	22876
1047	25152	22848
1048	25172	22820
1049	25192	22793
1050	25213	22766
1051	25233	22738
1052	25252	22710
1053	25273	22683
1054	25294	22657
1055	25322	22636
1056	25348	22614
1057	25370	22588
1058	25392	22562
1059	25414	22537
1060	25438	22513
1061	25459	22486
1062	25478	22458
1063	25499	22431
1064	25520	22405
1065	25540	22377
1066	25563	22353
1067	25586	22328
1068	25608	22302
1069	25630	22276
1070	25653	22252
1071	25675	22226
1072	25695	22199
1073	25718	22174
1074	25741	22149
1075	25762	22122
1076	25783	22096
1077	25804	22070
1078	25825	22044
1079	25845	22016
1080	25868	21991
1081	25888	21964
1082	25914	21942
1083	25935	21916
1084	25956	21889
1085	25976	21862
1086	25995	21834
1087	26018	21809
1088	26044	21787
1089	26068	21763
1090	26091	21738
1091	26113	21713
1092	26132	21685
1093	26154	21660
1094	26174	21632
1095	26196	21607
1096	26217	21581
1097	26237	21554
1098	26258	21527
1099	26277	21499
1100	26298	21473
1101	26322	21449
1102	26345	21424
1103	26368	21400
1104	26389	21374
1105	26412	21349
1106	26435	21325
1107	26456	21298
1108	26479	21274
1109	26504	21251
1110	26533	21231
1111	26553	21204
1112	26576	21180
1113	26598	21154
1114	26620	21129
1115	26640	21102
1116	26660	21075
1117	26682	21050
1118	26704	21024
1119	26728	21000
1120	26750	20975
1121	26772	20950
1122	26792	20923
1123	26812	20896
1124	26832	20870
1125	26854	20844
1126	26877	20819
1127	26896	20792
1128	26918	20766
1129	26937	20739
1130	26955	20711
1131	26975	20684
